date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,66,13,22,24,44,0,0,26,49,0,43
2020-04-02,52,13,46,0,0,0,0,54,0,0,44
2020-04-03,100,100,49,27,0,0,86,100,0,75,23
2020-04-04,57,66,28,0,0,0,74,49,0,0,27
2020-04-05,72,93,27,57,0,0,46,31,0,81,25
2020-04-06,89,94,23,100,0,0,20,67,0,0,88
2020-04-07,67,53,23,0,0,0,0,0,0,0,65
2020-04-08,49,14,48,26,0,0,63,0,0,0,46
2020-04-09,49,42,49,26,0,0,43,57,53,0,0
2020-04-10,38,14,49,0,0,0,43,28,0,0,23
2020-04-11,63,32,28,0,0,0,49,16,0,0,26
2020-04-12,57,59,0,54,0,0,0,59,0,0,0
2020-04-13,75,41,47,51,0,81,21,27,0,0,23
2020-04-14,61,0,23,24,0,0,20,26,0,0,0
2020-04-15,36,13,46,25,45,79,0,80,100,0,0
2020-04-16,54,42,48,0,0,0,21,0,0,0,0
2020-04-17,70,0,0,0,0,0,63,42,0,0,23
2020-04-18,46,17,0,0,0,0,25,17,0,89,0
2020-04-19,39,50,87,0,57,99,25,34,63,0,55
2020-04-20,57,15,0,0,100,87,22,0,0,0,0
2020-04-21,31,27,23,25,0,0,0,0,0,0,0
2020-04-22,42,41,47,25,0,0,41,14,0,71,67
2020-04-23,37,40,0,25,0,0,0,27,0,0,22
2020-04-24,56,14,0,0,0,0,0,0,54,0,24
2020-04-25,12,31,0,29,0,0,0,0,58,82,26
2020-04-26,45,0,100,0,0,0,44,0,54,0,24
2020-04-27,21,27,0,25,0,0,20,0,0,0,22
2020-04-28,33,0,48,0,0,0,63,0,0,0,46
2020-04-29,32,56,24,0,0,0,63,14,52,0,0
2020-04-30,51,0,45,0,0,0,40,0,49,0,22
2020-05-01,58,33,0,92,0,0,99,0,0,0,0
2020-05-02,25,16,56,30,0,96,25,16,0,0,27
2020-05-03,30,15,0,0,0,0,23,0,58,0,25
2020-05-04,45,0,0,24,0,0,58,13,0,0,42
2020-05-05,24,0,0,0,0,0,37,12,0,0,20
2020-05-06,58,25,0,0,0,0,37,0,46,0,81
2020-05-07,41,13,0,0,0,0,40,27,0,0,0
2020-05-08,17,0,49,26,0,0,86,0,0,0,47
2020-05-09,53,17,0,32,0,0,0,0,0,0,28
2020-05-10,46,0,58,31,0,0,51,0,0,0,55
2020-05-11,25,0,0,0,0,0,72,0,0,0,26
2020-05-12,20,0,0,0,43,0,19,0,0,0,21
2020-05-13,26,0,0,25,0,0,0,0,0,0,22
2020-05-14,40,13,0,0,0,0,39,0,0,68,42
2020-05-15,32,0,24,0,47,0,41,0,0,0,45
2020-05-16,19,0,0,0,0,0,0,17,0,0,54
2020-05-17,19,16,0,30,0,0,48,0,0,0,0
2020-05-18,37,28,0,51,0,0,0,14,0,0,23
2020-05-19,42,27,0,51,0,0,21,0,0,0,22
2020-05-20,16,27,0,0,0,0,80,0,50,0,22
2020-05-21,16,14,0,0,0,0,0,0,0,0,23
2020-05-22,27,0,48,26,0,0,0,14,0,0,23
2020-05-23,40,17,0,0,0,0,0,17,0,0,0
2020-05-24,13,0,0,0,55,0,0,0,0,0,27
2020-05-25,16,41,24,25,0,0,0,14,0,0,45
2020-05-26,47,0,0,0,0,0,20,0,0,0,0
2020-05-27,33,14,0,0,0,0,21,0,0,0,0
2020-05-28,26,27,0,0,45,0,0,0,0,0,0
2020-05-29,11,15,0,27,50,0,22,15,0,0,48
2020-05-30,24,0,0,0,0,0,23,0,0,0,0
2020-05-31,6,0,0,29,0,0,0,16,0,0,0
2020-06-01,22,0,0,0,0,0,21,0,0,0,0
2020-06-02,6,0,25,0,0,85,0,0,0,0,47
2020-06-03,16,0,0,0,0,0,0,0,0,0,69
2020-06-04,32,0,24,0,0,0,21,0,0,0,0
2020-06-05,52,15,0,0,0,0,0,0,0,0,0
2020-06-06,23,0,0,0,0,0,0,0,0,0,32
2020-06-07,51,0,32,0,0,0,28,0,0,0,0
2020-06-08,12,16,0,0,0,0,24,0,0,0,52
2020-06-09,11,0,25,0,0,0,0,0,0,0,0
2020-06-10,18,15,0,0,0,90,0,15,0,0,75
2020-06-11,18,16,54,0,0,0,23,0,58,0,0
2020-06-12,30,31,27,29,0,0,0,16,0,0,26
2020-06-13,28,18,0,0,0,0,0,0,0,0,0
2020-06-14,7,0,0,0,0,0,25,0,0,0,28
2020-06-15,17,0,26,28,50,0,0,0,0,0,0
2020-06-16,23,0,0,0,0,0,0,14,0,0,0
2020-06-17,18,0,0,0,0,0,0,0,0,0,0
2020-06-18,6,15,0,0,0,0,0,0,0,0,25
2020-06-19,6,0,0,29,0,0,0,0,0,0,26
2020-06-20,42,0,0,34,0,0,27,18,0,0,0
2020-06-21,27,0,0,0,0,0,0,0,0,0,0
2020-06-22,23,0,26,0,0,0,0,0,0,0,0
2020-06-23,12,0,79,0,0,0,23,0,0,0,25
2020-06-24,6,0,27,0,0,0,0,16,0,0,0
2020-06-25,19,0,0,30,0,0,0,0,61,0,0
2020-06-26,13,0,0,0,0,0,0,34,0,0,56
2020-06-27,46,20,34,37,0,0,0,20,0,0,32
2020-06-28,28,18,0,34,0,0,27,18,0,0,30
2020-06-29,0,0,0,0,0,0,27,0,0,94,0
2020-06-30,18,0,54,0,0,0,23,0,58,0,26
2020-07-01,18,0,27,0,0,0,24,0,59,0,0
2020-07-02,18,0,27,0,0,0,24,0,0,0,0
2020-07-03,19,0,28,0,0,0,0,16,0,0,26
2020-07-04,14,18,0,0,0,0,28,0,0,0,0
2020-07-05,29,0,32,0,63,0,28,0,0,0,0
2020-07-06,30,0,0,0,0,0,0,16,0,0,26
2020-07-07,17,0,26,28,0,88,22,0,0,0,49
2020-07-08,0,0,0,0,0,0,23,0,57,0,75
2020-07-09,13,0,0,30,55,0,0,0,0,0,53
2020-07-10,20,17,0,0,0,0,0,0,0,0,0
2020-07-11,8,19,0,36,0,0,59,20,0,0,0
2020-07-12,0,0,0,0,0,0,27,0,0,0,0
2020-07-13,6,0,0,29,0,0,23,0,0,0,76
2020-07-14,12,0,0,0,0,0,0,0,0,0,0
2020-07-15,19,0,0,30,0,0,48,16,0,0,0
2020-07-16,6,0,0,61,0,0,0,16,0,0,53
2020-07-17,20,0,0,0,0,0,25,0,0,0,0
2020-07-18,31,20,68,0,0,0,0,0,0,0,0
2020-07-19,22,0,0,0,0,0,0,0,0,0,62
2020-07-20,19,0,0,59,54,0,0,0,0,0,0
2020-07-21,12,16,27,0,0,0,24,0,59,0,26
2020-07-22,26,0,29,0,0,0,0,17,0,0,27
2020-07-23,6,17,0,31,0,0,0,0,0,0,0
2020-07-24,33,0,0,32,0,0,26,0,0,0,0
2020-07-25,30,0,33,0,0,0,29,19,0,0,0
2020-07-26,44,0,0,0,0,0,0,0,0,0,0
2020-07-27,37,0,0,29,0,0,24,0,0,0,26
2020-07-28,6,0,28,0,0,0,24,0,0,0,26
2020-07-29,19,33,28,0,0,0,49,0,0,0,0
2020-07-30,0,0,0,0,0,0,0,16,0,0,0
2020-07-31,38,0,0,0,0,0,24,0,0,0,0
2020-08-01,29,0,0,0,63,0,0,0,0,0,30
2020-08-02,14,0,32,34,0,0,0,0,0,0,30
2020-08-03,45,16,28,61,0,0,0,17,0,0,0
2020-08-04,32,16,0,0,0,0,0,0,0,0,54
2020-08-05,26,0,0,0,0,0,0,0,0,0,0
2020-08-06,45,0,0,0,0,0,0,0,0,0,27
2020-08-07,20,0,0,0,0,0,0,0,0,0,28
2020-08-08,15,0,0,0,0,0,0,0,0,0,32
2020-08-09,14,37,0,35,0,0,0,0,69,0,0
2020-08-10,30,16,0,0,0,0,24,16,0,0,26
2020-08-11,30,0,27,0,0,0,23,0,58,0,76
2020-08-12,31,16,28,0,0,0,24,16,0,0,26
2020-08-13,19,0,28,31,0,0,0,0,0,0,0
2020-08-14,19,0,29,31,0,0,0,0,0,0,0
2020-08-15,31,20,0,0,0,0,0,0,0,0,0
2020-08-16,30,0,0,0,0,0,0,0,0,0,0
2020-08-17,19,0,0,0,0,0,25,0,0,0,27
2020-08-18,6,0,0,60,55,0,0,0,0,0,0
2020-08-19,18,0,0,0,0,0,0,0,0,0,26
2020-08-20,19,0,0,30,0,0,0,16,0,0,0
2020-08-21,13,0,29,31,0,0,0,0,0,0,0
2020-08-22,22,0,0,71,65,0,0,0,0,0,31
2020-08-23,22,19,32,0,0,0,28,19,0,0,91
2020-08-24,7,0,0,0,0,0,0,0,0,0,0
2020-08-25,6,0,27,58,0,0,24,0,0,0,0
2020-08-26,32,0,0,0,0,0,0,0,0,0,0
2020-08-27,13,0,28,0,55,0,24,0,0,0,27
2020-08-28,45,16,57,0,56,0,0,0,0,0,27
2020-08-29,0,0,0,0,0,0,0,20,0,0,0
2020-08-30,44,0,0,35,0,0,0,0,0,100,31
2020-08-31,38,16,0,0,0,0,0,0,0,0,54
2020-09-01,6,16,0,0,0,0,0,16,0,0,0
2020-09-02,6,0,0,0,0,0,24,0,0,0,26
2020-09-03,6,15,26,28,0,0,0,0,0,0,25
2020-09-04,12,0,0,0,0,0,0,0,0,0,26
2020-09-05,7,0,0,0,0,0,0,18,0,0,0
2020-09-06,14,0,0,0,0,0,0,17,0,0,0
2020-09-07,0,15,0,0,0,0,0,0,0,0,0
2020-09-08,6,0,26,28,0,0,0,0,0,0,0
2020-09-09,18,0,27,0,0,0,0,0,0,0,0
2020-09-10,43,0,27,0,0,0,0,0,0,0,0
2020-09-11,26,0,0,31,0,0,0,50,62,0,0
2020-09-12,8,0,34,36,0,0,0,0,0,0,0
2020-09-13,7,0,0,34,0,0,27,18,68,0,0
2020-09-14,12,15,26,0,0,0,0,0,0,0,0
2020-09-15,0,0,0,28,0,0,23,0,0,0,0
2020-09-16,12,0,0,57,0,0,0,0,0,0,0
2020-09-17,17,0,0,0,0,0,0,0,0,0,0
2020-09-18,12,0,0,0,0,0,24,16,0,0,52
2020-09-19,14,0,32,0,0,0,0,0,0,0,30
2020-09-20,0,0,92,33,0,0,27,0,0,0,0
2020-09-21,17,0,0,0,0,0,0,0,0,0,24
2020-09-22,30,0,0,28,52,0,23,0,57,0,0
2020-09-23,18,0,0,28,0,0,23,0,0,0,75
2020-09-24,18,0,0,58,0,0,70,0,0,0,26
2020-09-25,6,0,0,0,56,0,25,0,0,0,0
2020-09-26,22,0,0,69,0,0,0,0,0,0,0
2020-09-27,13,16,0,0,0,0,0,16,0,0,0
2020-09-28,18,0,0,0,0,0,0,15,0,0,0
2020-09-29,6,0,0,0,0,0,0,0,0,0,24
2020-09-30,11,14,0,0,48,0,0,0,0,0,0
2020-10-01,0,0,25,27,0,0,22,0,0,0,24
2020-10-02,6,0,0,30,0,0,0,0,0,0,0
2020-10-03,15,0,0,35,0,0,0,0,0,0,31
2020-10-04,28,0,0,0,60,0,0,0,0,0,0
2020-10-05,12,0,0,57,0,0,0,0,57,0,0
2020-10-06,23,0,0,0,0,0,0,0,0,0,50
2020-10-07,6,0,0,0,0,0,23,0,0,0,0
2020-10-08,18,0,0,0,0,0,0,0,0,0,0
2020-10-09,33,0,0,0,0,0,0,17,0,0,0
2020-10-10,0,0,0,0,0,0,87,0,0,0,0
2020-10-11,0,0,0,33,0,0,0,0,67,0,0
2020-10-12,12,0,54,0,0,0,24,0,0,0,52
2020-10-13,6,0,0,30,0,0,48,0,0,0,26
2020-10-14,20,0,0,0,0,100,0,0,0,0,0
2020-10-15,38,0,0,0,0,0,25,0,0,0,80
2020-10-16,25,0,28,30,0,0,0,16,0,0,0
2020-10-17,7,0,30,0,60,0,0,18,0,0,29
2020-10-18,27,0,0,0,0,0,0,18,0,0,29
2020-10-19,12,0,0,59,53,0,48,0,0,0,0
2020-10-20,25,0,0,29,54,0,48,16,0,0,52
2020-10-21,19,0,0,30,0,0,24,0,0,0,26
2020-10-22,13,0,0,0,0,0,0,0,0,0,0
2020-10-23,13,0,30,0,0,0,52,0,65,0,28
2020-10-24,7,0,0,34,0,0,0,0,0,0,30
2020-10-25,0,0,0,0,0,0,0,0,0,0,0
2020-10-26,6,16,0,0,0,0,0,0,0,0,0
2020-10-27,12,0,0,0,53,0,24,0,0,0,0
2020-10-28,6,0,0,0,0,0,47,16,0,0,26
2020-10-29,18,0,27,0,0,0,47,0,0,0,26
2020-10-30,19,0,0,30,0,0,24,16,0,0,0
2020-10-31,33,17,0,0,0,0,51,0,0,0,0
2020-11-01,32,0,57,0,56,0,25,17,0,0,0
2020-11-02,18,0,26,0,0,0,91,0,0,0,25
2020-11-03,23,0,0,0,0,0,0,0,0,0,0
2020-11-04,17,0,51,0,50,88,22,15,0,0,0
2020-11-05,29,15,0,0,0,0,22,30,0,0,24
2020-11-06,6,0,27,0,0,0,24,0,0,0,0
2020-11-07,14,0,31,0,0,0,54,0,0,0,0
2020-11-08,20,0,0,0,58,0,52,0,0,0,56
2020-11-09,17,0,0,55,0,0,44,0,0,0,48
2020-11-10,18,0,26,0,0,0,23,0,0,0,100
2020-11-11,12,0,0,0,0,0,0,15,0,0,0
2020-11-12,6,0,27,29,0,0,0,0,0,0,25
2020-11-13,0,0,0,0,0,0,49,0,0,0,26
2020-11-14,7,0,0,0,0,0,0,18,66,0,0
2020-11-15,19,0,29,62,0,0,25,0,0,87,0
2020-11-16,23,0,0,28,50,0,22,0,0,0,0
2020-11-17,23,15,0,0,0,0,44,15,0,0,0
2020-11-18,12,0,0,0,0,0,46,0,0,0,50
2020-11-19,12,0,0,28,0,0,0,15,0,0,0
2020-11-20,25,0,0,30,0,0,24,0,0,0,0
2020-11-21,13,17,0,0,0,0,51,0,0,0,28
2020-11-22,19,0,0,0,0,0,0,0,62,0,55
2020-11-23,12,0,26,55,0,0,45,15,0,0,0
2020-11-24,6,0,0,54,0,0,87,0,0,0,0
2020-11-25,12,0,0,0,0,0,22,15,0,0,0
2020-11-26,18,0,52,0,0,89,23,15,0,0,0
2020-11-27,12,0,0,29,0,0,71,0,0,0,0
2020-11-28,0,0,29,0,0,0,100,0,0,0,0
2020-11-29,25,0,0,0,0,0,73,0,0,0,79
2020-11-30,0,0,0,27,49,0,65,0,0,0,24
